,ticker,name,market,locale,primary_exchange,type,active,currency_name,cik,composite_figi,share_class_figi,last_updated_utc,currency_symbol,base_currency_symbol,base_currency_name,Market Cap,IPO Year,Sector,Industry
1065,BACA,Berenson Acquisition Corp. I,stocks,us,XNYS,CS,True,usd,0001869673,BBG012J1SJH1,BBG012J1SJJ9,2022-03-22T00:00:00Z,,,,,,,
1079,BAFN,BayFirst Financial Corp. Common Stock,stocks,us,XNAS,CS,True,usd,0001649739,BBG000QK3NY5,BBG001SN12G3,2022-03-22T00:00:00Z,,,,90198671.0,,Finance,Savings Institutions
1080,BAH,Booz Allen Hamilton Holding Corporation,stocks,us,XNYS,CS,True,usd,0001443646,BBG000R2YFG7,BBG001T91S76,2022-03-22T00:00:00Z,,,,11550776396.0,2010.0,Consumer Services,Professional Services
1081,BAK,Braskem S.A. American Depositary Shares (Each representing Two Class A  Preferred Shares),stocks,us,XNYS,ADRC,True,usd,0001071438,BBG000BDJYK1,BBG001S5XRM5,2022-03-22T00:00:00Z,,,,7387495004.0,,Basic Industries,Major Chemicals
1084,BALY,Bally's Corporation,stocks,us,XNYS,CS,True,usd,0001747079,BBG005Q22HG8,BBG005Q22HH7,2022-03-22T00:00:00Z,,,,1622649862.0,2019.0,Consumer Services,Recreational Products/Toys
1085,BAM,Brookfield Asset Management Inc,stocks,us,XNYS,CS,True,usd,0001001085,BBG000C9KL89,BBG001SF86D7,2022-03-22T00:00:00Z,,,,87682585734.0,,Miscellaneous,Other Consumer Services
1088,BAMR,Brookfield Asset Management Reinsurance Partners Ltd.  Class A Exchangeable Limited Voting Shares,stocks,us,XNYS,CS,True,usd,0001837429,,,2022-03-22T00:00:00Z,,,,1569153482.0,2021.0,,
1089,BANC,"Banc of California, Inc.",stocks,us,XNYS,CS,True,usd,0001169770,BBG000F7VG25,BBG001SKZX56,2022-03-22T00:00:00Z,,,,1257740498.0,,Finance,Major Banks
1090,BAND,Bandwidth Inc. Class A Common Stock,stocks,us,XNAS,CS,True,usd,0001514416,BBG001K003W2,BBG001TFDMP2,2022-03-22T00:00:00Z,,,,751197893.0,2017.0,Technology,Computer Software: Prepackaged Software
1091,BANF,Bancfirst Corp,stocks,us,XNAS,CS,True,usd,0000760498,BBG000BGJJX3,BBG001S75RW1,2022-03-22T00:00:00Z,,,,2688111958.0,1993.0,Finance,Major Banks
1093,BANR,Banner Corp.,stocks,us,XNAS,CS,True,usd,0000946673,BBG000MVZH28,BBG001SD3DZ8,2022-03-22T00:00:00Z,,,,2061665920.0,,Finance,Major Banks
1094,BANX,ArrowMark Financial Corp. Common Stock,stocks,us,XNAS,CS,True,usd,0001578987,BBG004PP4922,BBG004PP4931,2022-03-22T00:00:00Z,,,,152050991.0,,Finance,Trusts Except Educational Religious and Charitable
1095,BAOS,Baosheng Media Group Holdings Limited Ordinary shares,stocks,us,XNAS,CS,True,usd,0001811216,,,2022-03-22T00:00:00Z,,,,18141686.0,2021.0,Miscellaneous,Business Services
1096,BAP,Credicorp LTD,stocks,us,XNYS,CS,True,usd,0001001290,,,2022-03-22T00:00:00Z,,,,13387962907.0,,Finance,Commercial Banks
1097,BAPR,Innovator U.S. Equity Buffer ETF - April,stocks,us,BATS,ETF,True,usd,0001415726,BBG00NR9PSK9,BBG00NR9PT90,2022-03-22T00:00:00Z,,,,,,,
1098,BAR,GraniteShares Gold Shares,stocks,us,ARCX,,True,usd,0001690437,BBG00HBPWNN3,BBG00HBPWNP1,2022-03-22T00:00:00Z,,,,,,,
1099,BARK,"BARK, Inc.",stocks,us,XNYS,CS,True,usd,0001819574,BBG00Y9ZTKK0,BBG00Y9ZTKL9,2022-03-22T00:00:00Z,,,,663118357.0,2020.0,Consumer Services,Department/Specialty Retail Stores
1101,BASE,"Couchbase, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001845022,BBG001Z5ZB04,BBG001Z5ZB22,2022-03-22T00:00:00Z,,,,763342111.0,2021.0,Technology,EDP Services
1102,BATL,Battalion Oil Corporation,stocks,us,XASE,CS,True,usd,0001282648,BBG00R4SMLR4,BBG00R4SR3J8,2022-03-22T00:00:00Z,,,,266456959.0,,Energy,Oil & Gas Production
1103,BATRA,Liberty Media Corporation Series A Liberty Braves Common Stock,stocks,us,XNAS,CS,True,usd,0001560385,BBG00BFHD1D0,BBG00BFHD1F8,2022-03-22T00:00:00Z,,,,1458580433.0,,Consumer Services,Movies/Entertainment
1105,BATT,Amplify Lithium & Battery Technology ETF,stocks,us,ARCX,ETF,True,usd,0001633061,BBG00L322ZG8,BBG00L323065,2022-03-22T00:00:00Z,,,,,,,
1107,BAX,Baxter International Inc.,stocks,us,XNYS,CS,True,usd,0000010456,BBG000BCVJ77,BBG001S5P1K3,2022-03-22T00:00:00Z,,,,39741471531.0,,Health Care,Medical/Dental Instruments
1108,BB,BlackBerry Limited,stocks,us,XNYS,CS,True,usd,0001070235,BBG000CR90K4,BBG001S60618,2022-03-22T00:00:00Z,,,,4032941521.0,,,
1109,BBAI,"BigBear.ai Holdings, Inc.",stocks,us,XNYS,CS,True,usd,0001836981,BBG00Z4HKRV4,BBG00Z4HKRY1,2022-03-22T00:00:00Z,,,,873046502.0,2021.0,Technology,EDP Services
1111,BBAR,Banco BBVA Argentina S.A.,stocks,us,XNYS,ADRC,True,usd,0000913059,BBG000BLLR07,BBG001S62B15,2022-03-22T00:00:00Z,,,,702574131.0,,Finance,Commercial Banks
1112,BBAX,JPMorgan BetaBuilders Developed Asia Pacific-ex Japan ETF,stocks,us,BATS,ETF,True,usd,0001485894,BBG00LN4D2G3,BBG00LN4D399,2022-03-22T00:00:00Z,,,,,,,
1113,BBBY,Bed Bath & Beyond Inc,stocks,us,XNAS,CS,True,usd,0000886158,BBG000CSY9H9,BBG001S720V4,2022-03-22T00:00:00Z,,,,2126173326.0,1992.0,Consumer Services,Other Specialty Stores
1116,BBCP,"Concrete Pumping Holdings, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001703956,BBG00M8BB0W0,BBG00M8BB1P6,2022-03-22T00:00:00Z,,,,406829500.0,2017.0,Consumer Services,Military/Government/Technical
1117,BBD,Banco Bradesco S.A. American Depositary Shares (Each representing one Preferred Shares),stocks,us,XNYS,ADRC,True,usd,0001160330,BBG000BS6WW3,BBG001SF7657,2022-03-22T00:00:00Z,,,,40502254511.0,,Finance,Commercial Banks
1118,BBDC,"Barings BDC, Inc.",stocks,us,XNYS,CS,True,usd,0001379785,BBG000F54FK1,BBG001S9DQ05,2022-03-22T00:00:00Z,,,,1130838592.0,,Finance,Investment Managers
1121,BBGI,Beasley Broadcasting Group Inc,stocks,us,XNAS,CS,True,usd,0001099160,BBG000CB07H7,BBG001SDTSJ5,2022-03-22T00:00:00Z,,,,51112848.0,2000.0,Consumer Services,Broadcasting
1123,BBI,"Brickell Biotech, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0000819050,BBG000BGN354,BBG001S77496,2022-03-22T00:00:00Z,,,,29337328.0,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
1124,BBIG,"Vinco Ventures, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001717556,BBG00KP45MJ5,BBG00KP45MK3,2022-03-22T00:00:00Z,,,,463890431.0,2018.0,Consumer Non-Durables,Recreational Products/Toys
1126,BBIO,"BridgeBio Pharma, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001743881,BBG00P9KDZK6,BBG00P9KDZL5,2022-03-22T00:00:00Z,,,,1644351115.0,2019.0,Health Care,Biotechnology: Pharmaceutical Preparations
1128,BBLG,Bone Biologics Corp Common Stock,stocks,us,XNAS,CS,True,usd,0001419554,BBG007GF2K51,BBG007GF2K79,2022-03-22T00:00:00Z,,,,28360573.0,,Health Care,Industrial Specialties
1130,BBLN,Babylon Holdings Limited,stocks,us,XNYS,CS,True,usd,0001866390,,,2022-03-22T00:00:00Z,,,,1972692462.0,,,
1133,BBN,BlackRock Taxable Municipal Bond Trust,stocks,us,XNYS,FUND,True,usd,0001493683,BBG000BGFM15,BBG001T9DW47,2022-03-22T00:00:00Z,,,,1268225011.0,2010.0,Finance,Finance Companies
1135,BBQ,"BBQ Holdings, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001021270,BBG00Q6Q1JJ5,BBG00Q6Q1JK3,2022-03-22T00:00:00Z,,,,159418944.0,,Consumer Services,Restaurants
1139,BBSI,Barrett Business Services,stocks,us,XNAS,CS,True,usd,0000902791,BBG000BHJSC4,BBG001S7CX50,2022-03-22T00:00:00Z,,,,570123992.0,1993.0,Technology,Professional Services
1140,BBU,Brookfield Business Partners L.P.Limited Partnership Units,stocks,us,XNYS,CS,True,usd,0001654795,,,2022-03-22T00:00:00Z,,,,2203793790.0,2016.0,Capital Goods,Building Products
1141,BBUC,Brookfield Business Corporation Class A Exchangeable Subordinate Voting Shares,stocks,us,XNYS,CS,True,usd,0001871130,BBG015MRS011,BBG015P1Z2Y7,2022-03-22T00:00:00Z,,,,2263660000.0,2022.0,,
1143,BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",stocks,us,XNYS,ADRC,True,usd,0000842180,BBG000BXD232,BBG001S5XP76,2022-03-22T00:00:00Z,,,,37875006907.0,,Finance,Commercial Banks
1144,BBW,"Build-A-Bear Workshop, Inc.",stocks,us,XNYS,CS,True,usd,0001113809,BBG000H8XPS1,BBG001SMC9T4,2022-03-22T00:00:00Z,,,,303208156.0,2004.0,Consumer Services,Recreational Products/Toys
1145,BBWI,"Bath & Body Works, Inc.",stocks,us,XNYS,CS,True,usd,0000701985,BBG000BNGTQ7,BBG001S5SWL1,2022-03-22T00:00:00Z,,,,12300146191.0,,Miscellaneous,Diversified Commercial Services
1146,BBY,"Best Buy Company, Inc.",stocks,us,XNYS,CS,True,usd,0000764478,BBG000BCWCG1,BBG001S5P285,2022-03-22T00:00:00Z,,,,24498721852.0,,Consumer Services,Consumer Electronics/Video Chains
1147,BC,Brunswick Corporation,stocks,us,XNYS,CS,True,usd,0000014930,BBG000BCWSS3,BBG001S5P294,2022-03-22T00:00:00Z,,,,7139524928.0,,Basic Industries,Homebuilding
1148,BCAB,"BioAtla, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001826892,BBG00Y6GBT61,BBG00Y6GBV39,2022-03-22T00:00:00Z,,,,215343243.0,2020.0,Consumer Durables,Specialty Chemicals
1149,BCAC,Brookline Capital Acquisition Corp. Common Stock,stocks,us,XNAS,CS,True,usd,0001814140,BBG00WS69YR2,BBG00WS69YS1,2022-03-22T00:00:00Z,,,,74716725.0,2021.0,,
1152,BCAT,BlackRock Capital Allocation Trust,stocks,us,XNYS,FUND,True,usd,0001809541,BBG00WRC2FN2,BBG00WRC2HF7,2022-03-22T00:00:00Z,,,,1846483555.0,2020.0,Finance,Finance/Investors Services
1153,BCBP,BCB Bancorp Inc (NJ),stocks,us,XNAS,CS,True,usd,0001228454,BBG000M7H7J5,BBG001SK9NQ4,2022-03-22T00:00:00Z,,,,306937309.0,2005.0,Finance,Savings Institutions
1154,BCC,Boise Cascade Company,stocks,us,XNYS,CS,True,usd,0001328581,BBG000RQKCR4,BBG001SZX397,2022-03-22T00:00:00Z,,,,3201920998.0,2013.0,,
1156,BCDA,"BioCardia, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0000925741,BBG000BTJTF3,BBG001S72MS0,2022-03-22T00:00:00Z,,,,36948070.0,,Health Care,Biotechnology: Pharmaceutical Preparations
1158,BCE,"BCE, Inc.",stocks,us,XNYS,CS,True,usd,0000718940,BBG000BCXNS3,BBG001S5P2C0,2022-03-22T00:00:00Z,,,,49107730355.0,,,
1159,BCEL,"Atreca, Inc. Class A Common Stock",stocks,us,XNAS,CS,True,usd,0001532346,BBG003FJ1986,BBG003FJ19C1,2022-03-22T00:00:00Z,,,,130267850.0,2019.0,Health Care,Biotechnology: Pharmaceutical Preparations
1160,BCH,Banco de ChileAmerican Depositary Shares (Each representing 200 shares of Common Stock),stocks,us,XNYS,ADRC,True,usd,0001161125,BBG000D5HVG9,BBG001SF8LP1,2022-03-22T00:00:00Z,,,,10889641332.0,,Finance,Commercial Banks
1163,BCLI,Brainstorm Cell Therapeutics Inc.,stocks,us,XNAS,CS,True,usd,0001137883,BBG000FR6HQ1,BBG001SBSRN7,2022-03-22T00:00:00Z,,,,122619481.0,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
1165,BCML,BayCom Corp Common Stock,stocks,us,XNAS,CS,True,usd,0001730984,BBG00FWKRBS2,BBG00FWKRCJ0,2022-03-22T00:00:00Z,,,,303194430.0,2018.0,Finance,Major Banks
1166,BCO,The Brink's Company,stocks,us,XNYS,CS,True,usd,0000078890,BBG000DR5QP5,BBG001S8PZK2,2022-03-22T00:00:00Z,,,,3151027034.0,,Miscellaneous,Diversified Manufacture
1167,BCOR,"Blucora, Inc.",stocks,us,XNAS,CS,True,usd,0001068875,BBG000BBD178,BBG001S5S9H7,2022-03-22T00:00:00Z,,,,929768204.0,,Finance,Investment Managers
1168,BCOV,"Brightcove, Inc.",stocks,us,XNAS,CS,True,usd,0001313275,BBG000GZH540,BBG001SP29R0,2022-03-22T00:00:00Z,,,,317391715.0,2012.0,Technology,EDP Services
1169,BCOW,"1895 Bancorp of Wisconsin, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001847360,BBG011S2J821,BBG011S2J830,2022-03-22T00:00:00Z,,,,69130862.0,2019.0,Finance,Finance: Consumer Services
1170,BCPC,Balchem Corporation,stocks,us,XNAS,CS,True,usd,0000009326,BBG000BCY878,BBG001S5P2R4,2022-03-22T00:00:00Z,,,,4512665769.0,,Basic Industries,Industrial Specialties
1171,BCRX,BioCryst Pharmaceuticals Inc,stocks,us,XNAS,CS,True,usd,0000882796,BBG000BLYWX6,BBG001S7K151,2022-03-22T00:00:00Z,,,,2995214380.0,1994.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
1172,BCS,Barclays PLC,stocks,us,XNYS,ADRC,True,usd,0000312069,BBG000BCZ341,BBG001S5P2T2,2022-03-22T00:00:00Z,,,,38586532778.0,,Finance,Commercial Banks
1173,BCSA,Blockchain Coinvestors Acquisition Corp. I Class A Ordinary Shares,stocks,us,XNAS,CS,True,usd,0001873441,,,2022-03-22T00:00:00Z,,,,408674580.0,2021.0,,
1176,BCSF,"Bain Capital Specialty Finance, Inc.",stocks,us,XNYS,CS,True,usd,0001655050,BBG00JDV0M15,BBG00JDV0M33,2022-03-22T00:00:00Z,,,,1011045070.0,2018.0,Finance,Finance/Investors Services
1177,BCTX,Briacell Therapeutics Corp. Common Shares,stocks,us,XNAS,CS,True,usd,0001610820,BBG0018783B6,BBG001SMHR46,2022-03-22T00:00:00Z,,,,137055106.0,,,
1179,BCV,Bancroft Fund Ltd.,stocks,us,XASE,FUND,True,usd,0000009521,BBG000BB76H3,BBG001S5P2V9,2022-03-22T00:00:00Z,,,,122881094.0,,Finance,Finance/Investors Services
1181,BCX,BLACKROCK RESOURCES & COMMODITIES STRATEGY TRUST,stocks,us,XNYS,FUND,True,usd,0001506289,BBG0019VQB06,BBG001TG5XN7,2022-03-22T00:00:00Z,,,,910537898.0,2011.0,Finance,Finance/Investors Services
1182,BCYC,Bicycle Therapeutics plc American Depositary Shares,stocks,us,XNAS,ADRC,True,usd,0001761612,BBG00P0YWPK6,BBG00P0YWQ97,2022-03-22T00:00:00Z,,,,1219166993.0,2019.0,Health Care,Biotechnology: Pharmaceutical Preparations
1186,BDC,Belden Inc.,stocks,us,XNYS,CS,True,usd,0000913142,BBG000Q4XNV1,BBG001SM6Z59,2022-03-22T00:00:00Z,,,,2618973318.0,,Capital Goods,Telecommunications Equipment
1190,BDJ,BlackRock Enhanced Equity Dividend Trust,stocks,us,XNYS,FUND,True,usd,0001332283,BBG000BZQ7P8,BBG001SK5462,2022-03-22T00:00:00Z,,,,1802373275.0,2005.0,Finance,Finance Companies
1191,BDL,Flanigan's Enterprises Inc,stocks,us,XASE,CS,True,usd,0000012040,BBG000BCZHJ4,BBG001S5P347,2022-03-22T00:00:00Z,,,,59476704.0,,Consumer Services,Restaurants
1192,BDN,Brandywine Realty Trust,stocks,us,XNYS,CS,True,usd,0000790816,BBG000CL6RJ3,BBG001S6YGF4,2022-03-22T00:00:00Z,,,,2318824329.0,,Consumer Services,Real Estate Investment Trusts
1193,BDR,Blonder Tongue Laboratories Inc,stocks,us,XASE,CS,True,usd,0001000683,BBG000FVBVT2,BBG001S8NC34,2022-03-22T00:00:00Z,,,,7945728.0,,Technology,Radio And Television Broadcasting And Communications Equipment
1194,BDRY,Breakwave Dry Bulk Shipping ETF,stocks,us,ARCX,ETF,True,usd,0001610940,BBG00KDXJCX5,BBG00KDXJDM5,2022-03-22T00:00:00Z,,,,,,,
1195,BDSI,"BioDelivery Sciences International, Inc.",stocks,us,XNAS,CS,True,usd,0001103021,BBG00JPYG9M5,BBG001SFBTV3,2022-03-22T00:00:00Z,,,,576016682.0,,Health Care,Biotechnology: Pharmaceutical Preparations
1196,BDSX,"Biodesix, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001439725,BBG001J2LMV6,BBG001V0G914,2022-03-22T00:00:00Z,,,,67938041.0,2020.0,Health Care,Precision Instruments
1197,BDTX,"Black Diamond Therapeutics, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001701541,BBG00MS4Y0W9,BBG00MS4Y0X8,2022-03-22T00:00:00Z,,,,114845474.0,2020.0,Health Care,Biotechnology: Pharmaceutical Preparations
1198,BDX,"Becton, Dickinson and Co.",stocks,us,XNYS,CS,True,usd,0000010795,BBG000BCZYD3,BBG001S5P374,2022-03-22T00:00:00Z,,,,74621413017.0,,Health Care,Medical/Dental Instruments
1200,BE,Bloom Energy Corporation,stocks,us,XNYS,CS,True,usd,0001664703,BBG000N7KBZ3,BBG001T53509,2022-03-22T00:00:00Z,,,,4240189790.0,2018.0,Consumer Durables,Electrical Products
1201,BEAM,Beam Therapeutics Inc. Common Stock,stocks,us,XNAS,CS,True,usd,0001745999,BBG00KXC8646,BBG00KXC8655,2022-03-22T00:00:00Z,,,,4337571757.0,2020.0,Consumer Durables,Specialty Chemicals
1202,BEAT,"Heartbeam, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001779372,BBG012F6HZX2,BBG012F6HZY1,2022-03-22T00:00:00Z,,,,14838833.0,2021.0,Technology,Retail: Computer Software & Peripheral Equipment
1204,BECN,"Beacon Roofing Supply, Inc.",stocks,us,XNAS,CS,True,usd,0001124941,BBG000BKTXF2,BBG001S903Y3,2022-03-22T00:00:00Z,,,,4419595389.0,2004.0,Capital Goods,Wholesale Distributors
1206,BEDU,"Bright Scholar Education Holdings Limited American Depositary Shares, each representing one Class A",stocks,us,XNYS,ADRC,True,usd,0001696355,BBG00GGXGNN1,BBG00GGXGNP9,2022-03-22T00:00:00Z,,,,75091070.0,2017.0,Miscellaneous,Other Consumer Services
1208,BEEM,Beam Global Common Stock,stocks,us,XNAS,CS,True,usd,0001398805,BBG000BBJG06,BBG001S7JC04,2022-03-22T00:00:00Z,,,,149164694.0,,Technology,Semiconductors
1210,BEKE,KE Holdings Inc. American Depositary Shares (each representing three Class A Ordinary Shares),stocks,us,XNYS,ADRC,True,usd,0001809587,BBG00W9L9LX1,BBG00W9L9N03,2022-03-22T00:00:00Z,,,,16938552358.0,2020.0,Finance,Real Estate
1211,BELFA,Bel Fuse Inc,stocks,us,XNAS,CS,True,usd,0000729580,BBG000C28YR9,BBG001S6BRZ3,2022-03-22T00:00:00Z,,,,253239423.0,,Capital Goods,Electrical Products
1213,BEN,"Franklin Resources, Inc.",stocks,us,XNYS,CS,True,usd,0000038777,BBG000BD0TF8,BBG001S5P3W6,2022-03-22T00:00:00Z,,,,14019312857.0,,Finance,Investment Managers
1214,BENE,Benessere Capital Acquisition Corp. Class A Common Stock,stocks,us,XNAS,CS,True,usd,0001828735,BBG00YXLNQY2,BBG00YXLNQZ1,2022-03-22T00:00:00Z,,,,152214125.0,2021.0,,
1218,BEP,Brookfield Renewable Partners L.P.,stocks,us,XNYS,CS,True,usd,0001533232,,,2022-03-22T00:00:00Z,,,,11028200827.0,,Public Utilities,Electric Utilities: Central
1219,BEPC,Brookfield Renewable Corporation Class A Subordinate Voting Shares,stocks,us,XNYS,CS,True,usd,0001791863,BBG00W5FS571,BBG00W5FR7D1,2022-03-22T00:00:00Z,,,,7342104962.0,2020.0,,
1223,BERY,"Berry Global Group, Inc.",stocks,us,XNYS,CS,True,usd,0001378992,BBG000Q1R1Y9,BBG001T6B4W6,2022-03-22T00:00:00Z,,,,8164002000.0,2012.0,Consumer Non-Durables,Plastic Products
1224,BERZ,MicroSectors FANG & Innovation -3x Inverse Leveraged ETN,stocks,us,ARCX,ETN,True,usd,0000927971,BBG0123138B5,BBG012313969,2022-03-22T00:00:00Z,,,,,,,
1225,BEST,"BEST Inc. American Depositary Shares, each representing one Class A Ordinary Share",stocks,us,XNYS,ADRC,True,usd,0001709505,BBG00H1H9511,BBG00H1H95R3,2022-03-22T00:00:00Z,,,,389600000.0,2017.0,,
1227,BF.A,Brown-Forman Corporation Class A,stocks,us,XNYS,CS,True,usd,0000014693,BBG000BD2C18,BBG001S5P4G2,2022-03-22T00:00:00Z,,,,,,,
1229,BFAC,Battery Future Acquisition Corp.,stocks,us,XNYS,CS,True,usd,0001880441,,,2022-03-22T00:00:00Z,,,,426101504.0,2022.0,,
1232,BFAM,BRIGHT HORIZONS FAMILY SOLUTIONS INC.,stocks,us,XNYS,CS,True,usd,0001437578,BBG003LFWP05,BBG003LFWPT4,2022-03-22T00:00:00Z,,,,8135173073.0,2013.0,Miscellaneous,Other Consumer Services
1233,BFC,Bank First Corporation Common Stock,stocks,us,XNAS,CS,True,usd,0001746109,BBG000BG27V9,BBG001S79DP6,2022-03-22T00:00:00Z,,,,538565543.0,,Finance,Major Banks
1235,BFI,"BurgerFi International, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001723580,BBG00KB1G6Y2,BBG00KB1G6Z1,2022-03-22T00:00:00Z,,,,89687735.0,2018.0,Consumer Services,Restaurants
1237,BFIN,BankFinancial Corporation,stocks,us,XNAS,CS,True,usd,0001303942,BBG000BCD4H9,BBG001S69N21,2022-03-22T00:00:00Z,,,,145885829.0,,Finance,Major Banks
1240,BFK,BlackRock Municipal Income Trust,stocks,us,XNYS,FUND,True,usd,0001137393,BBG000BZGJ91,BBG001SFL2F9,2022-03-22T00:00:00Z,,,,572264379.0,,Finance,Finance Companies
1241,BFLY,"Butterfly Network, Inc.",stocks,us,XNYS,CS,True,usd,0001804176,BBG00TN65975,BBG00TN65984,2022-03-22T00:00:00Z,,,,1076009430.0,2020.0,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
1244,BFRI,Biofrontera Inc. Common Stock,stocks,us,XNAS,CS,True,usd,0001858685,BBG00HTD0PX0,BBG00HTD0PY9,2022-03-22T00:00:00Z,,,,44415230.0,2021.0,Health Care,Biotechnology: Pharmaceutical Preparations
1246,BFS,"Saul Centers, Inc.",stocks,us,XNYS,CS,True,usd,0000907254,BBG000BJ5G95,BBG001S7F7J9,2022-03-22T00:00:00Z,,,,1179766000.0,1993.0,Consumer Services,Real Estate Investment Trusts
1247,BFST,"Business First Bancshares, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001624322,BBG000TGZHS6,BBG001T056Q8,2022-03-22T00:00:00Z,,,,566333784.0,,Finance,Major Banks
1251,BFZ,BLACKROCK CA MUNICIPAL INC TR,stocks,us,XNYS,FUND,True,usd,0001137391,BBG000BB9W75,BBG001S5WLM9,2022-03-22T00:00:00Z,,,,390830787.0,2001.0,Finance,Finance Companies
1252,BG,Bunge Limited,stocks,us,XNYS,CS,True,usd,0001144519,,,2022-03-22T00:00:00Z,,,,14824012123.0,2001.0,Basic Industries,Industrial Specialties
1253,BGB,Blackstone Strategic Credit Fund,stocks,us,XNYS,FUND,True,usd,0001546429,BBG002W5R785,BBG002W5R801,2022-03-22T00:00:00Z,,,,570364145.0,2012.0,Finance,Trusts Except Educational Religious and Charitable
1254,BGCP,"BGC Partners, Inc.",stocks,us,XNAS,CS,True,usd,0001094831,BBG000C4MWH4,BBG001SDL7L6,2022-03-22T00:00:00Z,,,,1680757477.0,,Finance,Investment Bankers/Brokers/Service
1255,BGFV,Big 5 Sporting Goods Corp,stocks,us,XNAS,CS,True,usd,0001156388,BBG000NF3BG5,BBG001SD30D0,2022-03-22T00:00:00Z,,,,379514850.0,2002.0,Consumer Services,Other Specialty Stores
1256,BGH,Barings Global Short Duration High Yield Fund,stocks,us,XNYS,FUND,True,usd,0001521404,BBG0034WH483,BBG0034WH517,2022-03-22T00:00:00Z,,,,311598781.0,2012.0,Finance,Investment Managers
1257,BGI,Birks Group Inc,stocks,us,XASE,CS,True,usd,0001179821,BBG000BCPBN3,BBG001S6PN78,2022-03-22T00:00:00Z,,,,87062479.0,,,
1258,BGLD,FT Cboe Vest Gold Strategy Quarterly Buffer ETF,stocks,us,BATS,ETF,True,usd,0001329377,BBG00YXMR9N6,BBG00YXMRBJ6,2022-03-22T00:00:00Z,,,,,,,
1259,BGNE,"BeiGene, Ltd. American Depositary Shares",stocks,us,XNAS,ADRC,True,usd,0001651308,BBG00B6WF7T5,BBG00B6WF7V2,2022-03-22T00:00:00Z,,,,19793951589.0,2016.0,Health Care,Biotechnology: Pharmaceutical Preparations
1260,BGR,Blackrock Energy and Resources Trust,stocks,us,XNYS,FUND,True,usd,0001306550,BBG000QD1Q85,BBG001SMMW12,2022-03-22T00:00:00Z,,,,321357520.0,2004.0,Finance,Trusts Except Educational Religious and Charitable
1262,BGRY,"Berkshire Grey, Inc. Class A Common Stock",stocks,us,XNAS,CS,True,usd,0001824734,BBG00Z3XYSD3,BBG00Z3XYT78,2022-03-22T00:00:00Z,,,,808489700.0,2021.0,Capital Goods,Office Equipment/Supplies/Services
1264,BGS,"B&G Foods, Inc.",stocks,us,XNYS,CS,True,usd,0001278027,BBG000RKXRQ1,BBG001SQD861,2022-03-22T00:00:00Z,,,,1880234103.0,,Consumer Non-Durables,Packaged Foods
1265,BGSF,"BGSF, Inc.",stocks,us,XNYS,CS,True,usd,0001474903,BBG005DLS9N2,BBG005DLS9P0,2022-03-22T00:00:00Z,,,,138238285.0,,Technology,Diversified Commercial Services
1266,BGSX,Build Acquisition Corp.,stocks,us,XNYS,CS,True,usd,0001838666,BBG010HFCG43,BBG010HFCH05,2022-03-22T00:00:00Z,,,,243000000.0,2021.0,,
1269,BGT,BlackRock Floating Rate Income Trust,stocks,us,XNYS,FUND,True,usd,0001287480,BBG000BWND57,BBG001SCPXR1,2022-03-22T00:00:00Z,,,,272669248.0,2004.0,Finance,Trusts Except Educational Religious and Charitable
1270,BGX,Blackstone Long-Short Credit Income Fund,stocks,us,XNYS,FUND,True,usd,0001504234,BBG001855699,BBG001TCJG67,2022-03-22T00:00:00Z,,,,168892975.0,2011.0,Finance,Trusts Except Educational Religious and Charitable
1271,BGY,BlackRock Enhanced International Dividend Trust,stocks,us,XNYS,FUND,True,usd,0001393299,BBG000QY41Y2,BBG001SSV2L3,2022-03-22T00:00:00Z,,,,597283574.0,2007.0,Finance,Trusts Except Educational Religious and Charitable
1272,BH,Biglari Holdings Inc. Class B Common Stock,stocks,us,XNYS,CS,True,usd,0001726173,BBG00JPRDQH1,BBG00JPRDQJ9,2022-03-22T00:00:00Z,,,,476118182.0,2018.0,Consumer Services,Restaurants
1274,BHAC,Crixus BH3 Acquisition Company Class A Common Stock,stocks,us,XNAS,CS,True,usd,0001851612,BBG012F020W9,BBG012F020X8,2022-03-22T00:00:00Z,,,,283762500.0,2021.0,,
